"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Oct-2023","EQ","222.00","223.20","215.55","219.00","218.15","219.00","217.88","266.95","204.25","1,75,38,202","3,82,12,16,553.95","1,55,761"
"30-Oct-2023","EQ","224.50","226.20","218.15","222.90","219.00","219.00","221.54","266.95","204.25","1,35,08,666","2,99,26,99,190.60","1,19,457"
"27-Oct-2023","EQ","219.60","225.60","216.45","215.85","224.50","222.90","220.67","266.95","204.25","2,09,29,447","4,61,85,85,111.40","1,44,370"
"26-Oct-2023","EQ","208.00","217.00","206.45","210.15","216.40","215.85","213.01","266.95","204.25","2,37,34,035","5,05,56,22,275.15","1,86,464"
"25-Oct-2023","EQ","206.60","211.80","206.50","206.60","210.50","210.15","209.94","266.95","204.25","2,20,79,260","4,63,54,07,900.05","1,66,872"
"23-Oct-2023","EQ","214.00","214.20","204.25","214.20","205.00","206.60","209.47","266.95","204.25","1,78,17,781","3,73,22,42,743.60","2,03,604"
"20-Oct-2023","EQ","215.50","217.00","213.00","214.20","214.00","214.20","214.74","266.95","209.05","1,11,01,464","2,38,39,50,893.75","1,43,906"
"19-Oct-2023","EQ","216.00","216.00","209.05","216.00","214.60","214.20","212.21","266.95","209.05","4,21,27,110","8,93,99,50,079.85","3,57,319"
"18-Oct-2023","EQ","221.60","222.90","215.55","220.95","216.40","216.00","217.98","266.95","215.55","2,77,12,062","6,04,06,84,686.25","2,96,269"
"17-Oct-2023","EQ","231.50","233.00","220.50","224.80","221.40","220.95","225.31","266.95","218.85","3,41,90,044","7,70,32,23,803.65","2,84,116"
"16-Oct-2023","EQ","224.90","225.95","224.00","224.55","224.85","224.80","224.65","266.95","218.85","1,08,50,724","2,43,76,34,805.60","1,10,054"
"13-Oct-2023","EQ","224.00","225.90","222.00","225.15","223.90","224.55","223.67","266.95","218.85","1,01,37,218","2,26,73,88,878.30","94,521"
"12-Oct-2023","EQ","227.00","227.40","224.75","225.10","224.90","225.15","225.79","266.95","218.85","77,80,605","1,75,68,10,469.10","68,271"
"11-Oct-2023","EQ","222.00","227.70","220.60","220.15","226.35","225.10","223.33","266.95","218.85","1,17,65,082","2,62,75,10,955.95","1,22,758"
"10-Oct-2023","EQ","221.00","223.90","219.75","219.65","220.90","220.15","221.56","266.95","218.85","1,04,51,289","2,31,56,33,297.25","1,22,564"
