"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2024","EQ","489.05","492.70","487.15","489.05","490.40","490.50","490.35","579.90","375.05","31,44,709","1,54,20,11,528.55","55,702"
"12-Aug-2024","EQ","491.55","494.00","487.40","491.30","489.50","489.05","490.30","579.90","375.05","36,69,234","1,79,90,07,178.15","53,159"
"09-Aug-2024","EQ","495.35","496.45","489.65","487.30","492.00","491.30","492.02","579.90","375.05","30,32,974","1,49,22,75,333.25","58,877"
"08-Aug-2024","EQ","494.00","494.00","486.35","497.40","488.05","487.30","489.34","579.90","375.05","65,80,285","3,22,00,17,618.30","1,18,284"
"07-Aug-2024","EQ","498.70","500.10","492.65","489.50","498.10","497.40","496.66","579.90","375.05","35,39,913","1,75,81,26,813.20","73,879"
"06-Aug-2024","EQ","489.75","499.35","486.60","485.00","490.00","489.50","493.38","579.90","375.05","56,35,792","2,78,05,65,321.75","1,03,575"
"05-Aug-2024","EQ","490.00","495.85","480.25","502.15","485.40","485.00","486.81","579.90","375.05","1,09,69,040","5,33,98,44,298.25","2,09,255"
"02-Aug-2024","EQ","515.00","519.25","501.00","521.55","502.00","502.15","508.74","579.90","375.05","78,26,114","3,98,14,44,687.60","1,82,307"
"01-Aug-2024","EQ","523.00","526.80","517.50","522.00","521.30","521.55","522.20","579.90","375.05","53,79,876","2,80,93,61,657.05","81,748"
"31-Jul-2024","EQ","521.80","524.90","519.45","521.50","521.00","522.00","522.01","579.90","375.05","38,79,254","2,02,50,00,532.85","78,311"
"30-Jul-2024","EQ","524.40","526.95","519.75","524.40","521.70","521.50","522.32","579.90","375.05","54,08,263","2,82,48,20,422.60","69,751"
"29-Jul-2024","EQ","528.00","530.55","522.85","524.80","524.35","524.40","525.97","579.90","375.05","60,05,777","3,15,88,76,664.85","85,064"
"26-Jul-2024","EQ","510.00","528.55","508.50","506.85","524.50","524.80","520.77","579.90","375.05","1,30,76,998","6,81,01,08,396.20","1,76,213"
"25-Jul-2024","EQ","496.00","507.50","493.30","500.10","507.50","506.85","502.96","579.90","375.05","1,09,43,945","5,50,43,98,301.85","1,61,155"
"24-Jul-2024","EQ","502.50","506.35","499.85","500.55","500.50","500.10","502.64","579.90","375.05","61,20,138","3,07,62,14,876.15","1,05,843"
"23-Jul-2024","EQ","508.00","508.00","486.35","505.80","500.60","500.55","499.94","579.90","375.05","1,29,23,816","6,46,10,87,870.90","2,24,589"
"22-Jul-2024","EQ","521.00","526.75","501.55","557.20","505.35","505.80","510.51","579.90","375.05","3,80,07,284","19,40,31,65,698.85","4,86,533"
"19-Jul-2024","EQ","579.90","579.90","554.70","573.20","557.00","557.20","564.95","579.90","375.05","1,32,61,745","7,49,22,08,987.85","1,73,832"
"18-Jul-2024","EQ","556.55","574.40","556.35","559.70","573.20","573.20","567.26","574.40","375.05","1,25,09,893","7,09,63,65,104.00","2,50,266"
